alphas.0	alphas.1	alphau.0	alphau.1	q
1.125156	0.375249	11.661304	0.169474	0.511517
1.125153	0.375249	11.661304	0.169474	0.525552
1.125160	0.375249	11.661304	0.169474	0.561764
1.125166	0.375249	11.661304	0.169474	0.573951
1.125172	0.375248	11.661304	0.169475	0.543947
1.125178	0.375249	15.106151	0.169475	0.576289
1.125182	0.375248	13.822618	0.169475	0.491749
1.125185	0.375248	14.840009	0.169475	0.581148
1.125183	0.375249	14.840009	0.169474	0.535075
1.125184	0.375249	14.840009	0.169475	0.519617
1.125180	0.375248	14.840009	0.169475	0.491146
1.125174	0.375249	13.541967	0.169474	0.510069
1.125171	0.375249	12.059703	0.169475	0.461181
1.125173	0.375250	12.444191	0.169474	0.500455
1.125173	0.375250	12.444191	0.169474	0.541696
1.125174	0.375250	12.444191	0.169474	0.524346
1.125173	0.375250	13.940235	0.169474	0.498771
1.125168	0.375249	13.940235	0.169474	0.533295
1.125172	0.375250	13.648249	0.169474	0.523082
1.125167	0.375249	11.244961	0.169474	0.492907
1.125158	0.375249	13.920039	0.169474	0.474196
1.125164	0.375249	13.920039	0.169474	0.581189
1.125161	0.375248	10.810859	0.169474	0.476883
1.125155	0.375247	12.092268	0.169474	0.503842
1.125155	0.375247	12.092268	0.169474	0.542004
1.125154	0.375248	12.092268	0.169474	0.501704
1.125159	0.375248	12.092268	0.169474	0.579537
1.125150	0.375248	11.284509	0.169474	0.520860
1.125156	0.375248	11.284509	0.169474	0.501877
1.125162	0.375248	10.354137	0.169474	0.443374
1.125155	0.375248	10.354137	0.169474	0.517130
1.125157	0.375247	10.354137	0.169474	0.518708
1.125155	0.375247	10.354137	0.169474	0.488343
1.125148	0.375249	10.792431	0.169474	0.510852
1.125143	0.375249	10.792431	0.169474	0.491210
1.125147	0.375248	10.792431	0.169474	0.619755
1.125146	0.375248	13.831228	0.169475	0.472657
1.125137	0.375249	9.186116	0.169475	0.522851
1.125132	0.375249	10.205057	0.169475	0.524939
1.125134	0.375249	12.894919	0.169475	0.532050
1.125140	0.375248	15.933239	0.169475	0.549791
1.125134	0.375248	9.962669	0.169474	0.480096
1.125127	0.375249	11.458297	0.169474	0.522311
